filter:Site,population,population_order,population_color,date,participant_count
Clinical Site 01,Screened,1,#a6bddb,2015-01-01,0
Clinical Site 01,Screened,1,#a6bddb,2015-01-02,0
Clinical Site 01,Screened,1,#a6bddb,2015-01-03,0
Clinical Site 01,Screened,1,#a6bddb,2015-01-04,0
Clinical Site 01,Screened,1,#a6bddb,2015-01-05,0
Clinical Site 01,Screened,1,#a6bddb,2015-01-06,1
Clinical Site 01,Screened,1,#a6bddb,2015-01-07,1
Clinical Site 01,Screened,1,#a6bddb,2015-01-08,1
Clinical Site 01,Screened,1,#a6bddb,2015-01-09,1
Clinical Site 01,Screened,1,#a6bddb,2015-01-10,1
Clinical Site 01,Screened,1,#a6bddb,2015-01-11,1
Clinical Site 01,Screened,1,#a6bddb,2015-01-12,2
Clinical Site 01,Screened,1,#a6bddb,2015-01-13,2
Clinical Site 01,Screened,1,#a6bddb,2015-01-14,2
Clinical Site 01,Screened,1,#a6bddb,2015-01-15,2
Clinical Site 01,Screened,1,#a6bddb,2015-01-16,2
Clinical Site 01,Screened,1,#a6bddb,2015-01-17,2
Clinical Site 01,Screened,1,#a6bddb,2015-01-18,3
Clinical Site 01,Screened,1,#a6bddb,2015-01-19,3
Clinical Site 01,Screened,1,#a6bddb,2015-01-20,3
Clinical Site 01,Screened,1,#a6bddb,2015-01-21,3
Clinical Site 01,Screened,1,#a6bddb,2015-01-22,3
Clinical Site 01,Screened,1,#a6bddb,2015-01-23,3
Clinical Site 01,Screened,1,#a6bddb,2015-01-24,3
Clinical Site 01,Screened,1,#a6bddb,2015-01-25,3
Clinical Site 01,Screened,1,#a6bddb,2015-01-26,3
Clinical Site 01,Screened,1,#a6bddb,2015-01-27,3
Clinical Site 01,Screened,1,#a6bddb,2015-01-28,3
Clinical Site 01,Screened,1,#a6bddb,2015-01-29,3
Clinical Site 01,Screened,1,#a6bddb,2015-01-30,3
Clinical Site 01,Screened,1,#a6bddb,2015-01-31,3
Clinical Site 01,Screened,1,#a6bddb,2015-02-01,3
Clinical Site 01,Screened,1,#a6bddb,2015-02-02,3
Clinical Site 01,Screened,1,#a6bddb,2015-02-03,3
Clinical Site 01,Screened,1,#a6bddb,2015-02-04,3
Clinical Site 01,Screened,1,#a6bddb,2015-02-05,3
Clinical Site 01,Screened,1,#a6bddb,2015-02-06,3
Clinical Site 01,Screened,1,#a6bddb,2015-02-07,3
Clinical Site 01,Screened,1,#a6bddb,2015-02-08,3
Clinical Site 01,Screened,1,#a6bddb,2015-02-09,3
Clinical Site 01,Screened,1,#a6bddb,2015-02-10,3
Clinical Site 01,Screened,1,#a6bddb,2015-02-11,3
Clinical Site 01,Screened,1,#a6bddb,2015-02-12,4
Clinical Site 01,Screened,1,#a6bddb,2015-02-13,5
Clinical Site 01,Screened,1,#a6bddb,2015-02-14,5
Clinical Site 01,Screened,1,#a6bddb,2015-02-15,5
Clinical Site 01,Screened,1,#a6bddb,2015-02-16,5
Clinical Site 01,Screened,1,#a6bddb,2015-02-17,5
Clinical Site 01,Screened,1,#a6bddb,2015-02-18,5
Clinical Site 01,Screened,1,#a6bddb,2015-02-19,6
Clinical Site 01,Screened,1,#a6bddb,2015-02-20,6
Clinical Site 01,Screened,1,#a6bddb,2015-02-21,6
Clinical Site 01,Screened,1,#a6bddb,2015-02-22,6
Clinical Site 01,Screened,1,#a6bddb,2015-02-23,6
Clinical Site 01,Screened,1,#a6bddb,2015-02-24,6
Clinical Site 01,Screened,1,#a6bddb,2015-02-25,6
Clinical Site 01,Screened,1,#a6bddb,2015-02-26,6
Clinical Site 01,Screened,1,#a6bddb,2015-02-27,6
Clinical Site 01,Screened,1,#a6bddb,2015-02-28,6
Clinical Site 01,Screened,1,#a6bddb,2015-03-01,6
Clinical Site 01,Screened,1,#a6bddb,2015-03-02,6
Clinical Site 01,Screened,1,#a6bddb,2015-03-03,6
Clinical Site 01,Screened,1,#a6bddb,2015-03-04,6
Clinical Site 01,Screened,1,#a6bddb,2015-03-05,6
Clinical Site 01,Screened,1,#a6bddb,2015-03-06,6
Clinical Site 01,Screened,1,#a6bddb,2015-03-07,6
Clinical Site 01,Screened,1,#a6bddb,2015-03-08,6
Clinical Site 01,Screened,1,#a6bddb,2015-03-09,6
Clinical Site 01,Screened,1,#a6bddb,2015-03-10,6
Clinical Site 01,Screened,1,#a6bddb,2015-03-11,6
Clinical Site 01,Screened,1,#a6bddb,2015-03-12,6
Clinical Site 01,Screened,1,#a6bddb,2015-03-13,6
Clinical Site 01,Screened,1,#a6bddb,2015-03-14,6
Clinical Site 01,Screened,1,#a6bddb,2015-03-15,6
Clinical Site 01,Screened,1,#a6bddb,2015-03-16,6
Clinical Site 01,Screened,1,#a6bddb,2015-03-17,6
Clinical Site 01,Screened,1,#a6bddb,2015-03-18,6
Clinical Site 01,Screened,1,#a6bddb,2015-03-19,6
Clinical Site 01,Screened,1,#a6bddb,2015-03-20,6
Clinical Site 01,Screened,1,#a6bddb,2015-03-21,6
Clinical Site 01,Screened,1,#a6bddb,2015-03-22,6
Clinical Site 01,Screened,1,#a6bddb,2015-03-23,6
Clinical Site 01,Screened,1,#a6bddb,2015-03-24,6
Clinical Site 01,Screened,1,#a6bddb,2015-03-25,6
Clinical Site 01,Screened,1,#a6bddb,2015-03-26,6
Clinical Site 01,Screened,1,#a6bddb,2015-03-27,6
Clinical Site 01,Screened,1,#a6bddb,2015-03-28,6
Clinical Site 01,Screened,1,#a6bddb,2015-03-29,7
Clinical Site 01,Screened,1,#a6bddb,2015-03-30,7
Clinical Site 01,Screened,1,#a6bddb,2015-03-31,7
Clinical Site 01,Screened,1,#a6bddb,2015-04-01,7
