site,date,population,population_order,population_color,participant_count
Site 1,2017-07-28,Screened,1,#a6bddb,0
Site 1,2017-07-29,Screened,1,#a6bddb,0
Site 1,2017-07-30,Screened,1,#a6bddb,0
Site 1,2017-07-31,Screened,1,#a6bddb,0
Site 1,2017-08-01,Screened,1,#a6bddb,0
Site 1,2017-08-02,Screened,1,#a6bddb,0
Site 1,2017-08-03,Screened,1,#a6bddb,0
Site 1,2017-08-04,Screened,1,#a6bddb,0
Site 1,2017-08-05,Screened,1,#a6bddb,0
Site 1,2017-08-06,Screened,1,#a6bddb,0
Site 1,2017-08-07,Screened,1,#a6bddb,0
Site 1,2017-08-08,Screened,1,#a6bddb,0
Site 1,2017-08-09,Screened,1,#a6bddb,0
Site 1,2017-08-10,Screened,1,#a6bddb,0
Site 1,2017-08-11,Screened,1,#a6bddb,0
Site 1,2017-08-12,Screened,1,#a6bddb,0
Site 1,2017-08-13,Screened,1,#a6bddb,0
Site 1,2017-08-14,Screened,1,#a6bddb,0
Site 1,2017-08-15,Screened,1,#a6bddb,0
Site 1,2017-08-16,Screened,1,#a6bddb,0
Site 1,2017-08-17,Screened,1,#a6bddb,0
Site 1,2017-08-18,Screened,1,#a6bddb,0
Site 1,2017-08-19,Screened,1,#a6bddb,0
Site 1,2017-08-20,Screened,1,#a6bddb,0
Site 1,2017-08-21,Screened,1,#a6bddb,0
Site 1,2017-08-22,Screened,1,#a6bddb,0
Site 1,2017-08-23,Screened,1,#a6bddb,0
Site 1,2017-08-24,Screened,1,#a6bddb,0
Site 1,2017-08-25,Screened,1,#a6bddb,0
Site 1,2017-08-26,Screened,1,#a6bddb,0
Site 1,2017-08-27,Screened,1,#a6bddb,0
Site 1,2017-08-28,Screened,1,#a6bddb,0
Site 1,2017-08-29,Screened,1,#a6bddb,0
Site 1,2017-08-30,Screened,1,#a6bddb,0
Site 1,2017-08-31,Screened,1,#a6bddb,0
Site 1,2017-09-01,Screened,1,#a6bddb,0
Site 1,2017-09-02,Screened,1,#a6bddb,0
Site 1,2017-09-03,Screened,1,#a6bddb,0
Site 1,2017-09-04,Screened,1,#a6bddb,0
Site 1,2017-09-05,Screened,1,#a6bddb,0
Site 1,2017-09-06,Screened,1,#a6bddb,0
Site 1,2017-09-07,Screened,1,#a6bddb,0
Site 1,2017-09-08,Screened,1,#a6bddb,0
Site 1,2017-09-09,Screened,1,#a6bddb,0
Site 1,2017-09-10,Screened,1,#a6bddb,0
Site 1,2017-09-11,Screened,1,#a6bddb,0
Site 1,2017-09-12,Screened,1,#a6bddb,0
Site 1,2017-09-13,Screened,1,#a6bddb,0
Site 1,2017-09-14,Screened,1,#a6bddb,0
Site 1,2017-09-15,Screened,1,#a6bddb,0
Site 1,2017-09-16,Screened,1,#a6bddb,0
Site 1,2017-09-17,Screened,1,#a6bddb,0
Site 1,2017-09-18,Screened,1,#a6bddb,0
Site 1,2017-09-19,Screened,1,#a6bddb,0
Site 1,2017-09-20,Screened,1,#a6bddb,0
Site 1,2017-09-21,Screened,1,#a6bddb,0
Site 1,2017-09-22,Screened,1,#a6bddb,0
Site 1,2017-09-23,Screened,1,#a6bddb,0
Site 1,2017-09-24,Screened,1,#a6bddb,0
Site 1,2017-09-25,Screened,1,#a6bddb,0
Site 1,2017-09-26,Screened,1,#a6bddb,0
Site 1,2017-09-27,Screened,1,#a6bddb,0
Site 1,2017-09-28,Screened,1,#a6bddb,4
Site 1,2017-09-29,Screened,1,#a6bddb,4
Site 1,2017-09-30,Screened,1,#a6bddb,4
Site 1,2017-10-01,Screened,1,#a6bddb,4
Site 1,2017-10-02,Screened,1,#a6bddb,4
Site 1,2017-10-03,Screened,1,#a6bddb,4
Site 1,2017-10-04,Screened,1,#a6bddb,4
Site 1,2017-10-05,Screened,1,#a6bddb,4
Site 1,2017-10-06,Screened,1,#a6bddb,4
Site 1,2017-10-07,Screened,1,#a6bddb,4
Site 1,2017-10-08,Screened,1,#a6bddb,4
Site 1,2017-10-09,Screened,1,#a6bddb,4
Site 1,2017-10-10,Screened,1,#a6bddb,4
Site 1,2017-10-11,Screened,1,#a6bddb,4
Site 1,2017-10-12,Screened,1,#a6bddb,4
Site 1,2017-10-13,Screened,1,#a6bddb,4
Site 1,2017-10-14,Screened,1,#a6bddb,4
Site 1,2017-10-15,Screened,1,#a6bddb,4
Site 1,2017-10-16,Screened,1,#a6bddb,4
Site 1,2017-10-17,Screened,1,#a6bddb,4
Site 1,2017-10-18,Screened,1,#a6bddb,4
Site 1,2017-10-19,Screened,1,#a6bddb,4
Site 1,2017-10-20,Screened,1,#a6bddb,4
Site 1,2017-10-21,Screened,1,#a6bddb,4
Site 1,2017-10-22,Screened,1,#a6bddb,4
Site 1,2017-10-23,Screened,1,#a6bddb,8
Site 1,2017-10-24,Screened,1,#a6bddb,8
Site 1,2017-10-25,Screened,1,#a6bddb,8
Site 1,2017-10-26,Screened,1,#a6bddb,8
Site 1,2017-10-27,Screened,1,#a6bddb,8
Site 1,2017-10-28,Screened,1,#a6bddb,8
Site 1,2017-10-29,Screened,1,#a6bddb,8
Site 1,2017-10-30,Screened,1,#a6bddb,8
Site 1,2017-10-31,Screened,1,#a6bddb,8
Site 1,2017-11-01,Screened,1,#a6bddb,8
Site 1,2017-11-02,Screened,1,#a6bddb,8
Site 1,2017-11-03,Screened,1,#a6bddb,8
Site 1,2017-11-04,Screened,1,#a6bddb,8
Site 1,2017-11-05,Screened,1,#a6bddb,8
Site 1,2017-11-06,Screened,1,#a6bddb,8
Site 1,2017-11-07,Screened,1,#a6bddb,8
Site 1,2017-11-08,Screened,1,#a6bddb,8
Site 1,2017-11-09,Screened,1,#a6bddb,8
Site 1,2017-11-10,Screened,1,#a6bddb,8
Site 1,2017-11-11,Screened,1,#a6bddb,8
Site 1,2017-11-12,Screened,1,#a6bddb,8
Site 1,2017-11-13,Screened,1,#a6bddb,8
Site 1,2017-11-14,Screened,1,#a6bddb,8
Site 1,2017-11-15,Screened,1,#a6bddb,8
Site 1,2017-11-16,Screened,1,#a6bddb,8
Site 1,2017-11-17,Screened,1,#a6bddb,8
Site 1,2017-11-18,Screened,1,#a6bddb,8
Site 1,2017-11-19,Screened,1,#a6bddb,8
Site 1,2017-11-20,Screened,1,#a6bddb,8
Site 1,2017-11-21,Screened,1,#a6bddb,8
Site 1,2017-11-22,Screened,1,#a6bddb,8
Site 1,2017-11-23,Screened,1,#a6bddb,8
Site 1,2017-11-24,Screened,1,#a6bddb,8
Site 1,2017-11-25,Screened,1,#a6bddb,8
Site 1,2017-11-26,Screened,1,#a6bddb,8
Site 1,2017-11-27,Screened,1,#a6bddb,8
Site 1,2017-11-28,Screened,1,#a6bddb,8
Site 1,2017-11-29,Screened,1,#a6bddb,8
Site 1,2017-11-30,Screened,1,#a6bddb,8
Site 1,2017-12-01,Screened,1,#a6bddb,8
Site 1,2017-12-02,Screened,1,#a6bddb,8
Site 1,2017-12-03,Screened,1,#a6bddb,8
Site 1,2017-12-04,Screened,1,#a6bddb,8
Site 1,2017-12-05,Screened,1,#a6bddb,8
Site 1,2017-12-06,Screened,1,#a6bddb,8
Site 1,2017-12-07,Screened,1,#a6bddb,8
Site 1,2017-12-08,Screened,1,#a6bddb,8
Site 1,2017-12-09,Screened,1,#a6bddb,8
Site 1,2017-12-10,Screened,1,#a6bddb,8
Site 1,2017-12-11,Screened,1,#a6bddb,8
Site 1,2017-12-12,Screened,1,#a6bddb,8
Site 1,2017-12-13,Screened,1,#a6bddb,8
Site 1,2017-12-14,Screened,1,#a6bddb,8
Site 1,2017-12-15,Screened,1,#a6bddb,8
Site 1,2017-12-16,Screened,1,#a6bddb,8
Site 1,2017-12-17,Screened,1,#a6bddb,8
Site 1,2017-12-18,Screened,1,#a6bddb,8
Site 1,2017-12-19,Screened,1,#a6bddb,8
Site 1,2017-12-20,Screened,1,#a6bddb,8
