site,status,status_order,status_color
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Outstanding <= 90 days,2,#fecc5c
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Received,1,#66c2a5
Site 1,Outstanding > 90 days,3,#e34a33
Site 1,Outstanding > 90 days,3,#e34a33
Site 1,Outstanding > 90 days,3,#e34a33
Site 1,Outstanding > 90 days,3,#e34a33
Site 1,Outstanding > 90 days,3,#e34a33
Site 1,Outstanding > 90 days,3,#e34a33
Site 1,Outstanding > 90 days,3,#e34a33
Site 1,Outstanding > 90 days,3,#e34a33
Site 1,Outstanding > 90 days,3,#e34a33
Site 1,Outstanding > 90 days,3,#e34a33
Site 1,Outstanding > 90 days,3,#e34a33
Site 1,Outstanding > 90 days,3,#e34a33
Site 1,Outstanding > 90 days,3,#e34a33
Site 1,Outstanding > 90 days,3,#e34a33
Site 1,Outstanding > 90 days,3,#e34a33
Site 1,Outstanding > 90 days,3,#e34a33
Site 1,Outstanding > 90 days,3,#e34a33
Site 1,Outstanding > 90 days,3,#e34a33
Site 1,Outstanding > 90 days,3,#e34a33
Site 1,Outstanding > 90 days,3,#e34a33
Site 1,Outstanding <= 90 days,2,#fecc5c
Site 1,Outstanding <= 90 days,2,#fecc5c
Site 1,Outstanding <= 90 days,2,#fecc5c
Site 1,Outstanding <= 90 days,2,#fecc5c
Site 1,Outstanding <= 90 days,2,#fecc5c
Site 1,Outstanding <= 90 days,2,#fecc5c
Site 1,Outstanding <= 90 days,2,#fecc5c
Site 1,Outstanding <= 90 days,2,#fecc5c
Site 1,Outstanding <= 90 days,2,#fecc5c
Site 1,Outstanding <= 90 days,2,#fecc5c
Site 1,Outstanding <= 90 days,2,#fecc5c
Site 1,Outstanding <= 90 days,2,#fecc5c
Site 1,Outstanding <= 90 days,2,#fecc5c
Site 1,Outstanding <= 90 days,2,#fecc5c
Site 1,Outstanding <= 90 days,2,#fecc5c
Site 1,Outstanding <= 90 days,2,#fecc5c
Site 1,Outstanding <= 90 days,2,#fecc5c
Site 1,Outstanding <= 90 days,2,#fecc5c
Site 1,Outstanding <= 90 days,2,#fecc5c
Site 1,Outstanding <= 90 days,2,#fecc5c
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
Site 2,Received,1,#66c2a5
